,NO.,Part No,Part Prefix,Part Base,Part Suffix,Part Name,Part Group,Supplier,Supplier PartNo,Supplier PartNo FTM,Supply Type,SNP In,Min Stock Pickface,Location,Package Length MM,Package Width MM,Package Height MM,Package Type,Piece Weight KG,Boxes Per Pallet,Tare Weight KG,Active,ShowShortage,Remarks,Create By,Create Date,Update By,Last Updated
,1,EB3B16450AN5GAX,EB3B,16450,AN5GAX,BDASYRNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,6,1,Y,N,,admin,2023-06-13 12:22:04,admin,
,2,EB3B16450CK5GAX,EB3B,16450,CK5GAX,BDASYRNG RH,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,3,EB3B16450HL5GAX,EB3B,16450,HL5GAX,BDASYRNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,4,EB3B16451CK5GAX,EB3B,16451,CK5GAX,BDASYRNG LH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,5,EB3B16451HL5GAX,EB3B,16451,HL5GAX,BDASYRNGLH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,6,JB3B16450BA,JB3B,16450,BA,BDASYRNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,7,JB3B16451BA,JB3B,16451,BA,BDASYRNGLH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,8,LB3J16450BBSMNV,LB3J,16450,BBSMNV,BDASYRNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,9,LB3J16451BBSMNV,LB3J,16451,BBSMNV,BDASYRNGLH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,10,N1VB16450AA,N1VB,16450,AA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,11,N1VB16450AB,N1VB,16450,AB,BDASYRNG,GROUP 09R,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,46.8,1,1,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:29:38
,12,N1VB16450BA,N1VB,16450,BA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,13,N1VB16450BB,N1VB,16450,BB,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,1,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:30:11
,14,N1VB16450CB,N1VB,16450,CB,BDASYRNG,GROUP 09R,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,46.8,1,1,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:32:48
,15,N1VB16451AA,N1VB,16451,AA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,16,N1VB16451AB,N1VB,16451,AB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:33:15
,17,N1VB16451BA,N1VB,16451,BA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,18,N1VB16451BB,N1VB,16451,BB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:33:36
,19,N1VB16451CB,N1VB,16451,CB,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:34:37
,20,N1WB16450BA,N1WB,16450,BA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,21,N1WB16450CA,N1WB,16450,CA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:30:41
,22,N1WB16450DA,N1WB,16450,DA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,23,N1WB16450FA,N1WB,16450,FA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:28:08
,24,N1WB16450GA,N1WB,16450,GA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:31:11
,25,N1WB16450SA,N1WB,16450,SA,BD ASY RNG,GROUP 09R,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,26,N1WB16451BA,N1WB,16451,BA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,27,N1WB16451CA,N1WB,16451,CA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:34:00
,28,N1WB16451DA,N1WB,16451,DA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,1,PART-NEWMODEL,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,
,29,N1WB16451FA,N1WB,16451,FA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,0,PX-OBSOLETEPART,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:26:08
,30,N1WB16451GA,N1WB,16451,GA,BD ASY RNG LH,GROUP 09L,ARK,,,SEQ,6,4,PF-04,2410,970,400,PTB,7.8,1,46.8,Y,N,,admin,2023-06-13 12:22:04,admin,2024-11-04 09:37:54
